,CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Geography_France,Geography_Germany,Geography_Spain
0,791,0,35,7,52436.2,1,1,0,161051.75,0,0,1,0
1,705,1,42,8,166685.92,2,1,1,55313.51,0,0,1,0
2,543,0,31,4,138317.94,1,0,0,61843.73,0,1,0,0
3,709,0,32,2,0.0,2,0,0,109681.29,0,1,0,0
4,714,0,36,1,101609.01,2,1,1,447.73,0,0,1,0
5,499,0,42,0,147187.84,1,1,1,14868.94,1,0,0,1
6,637,1,40,2,133463.1,1,0,1,93165.34,0,1,0,0
7,756,1,36,2,136815.64,1,1,1,170041.95,0,0,1,0
8,487,1,33,8,145729.71,1,1,0,41365.85,0,0,0,1
9,660,0,32,0,114668.89,1,1,0,84605.0,0,1,0,0
10,537,0,45,7,158621.04,1,1,0,120892.96,1,1,0,0
11,717,1,35,7,58469.37,2,1,1,172459.39,0,0,1,0
12,555,1,32,4,0.0,2,1,1,54405.79,0,0,0,1
13,535,0,27,6,0.0,2,0,1,49775.58,0,1,0,0
14,655,1,34,1,116114.93,1,1,1,49492.15,0,0,0,1
15,620,0,43,2,0.0,2,1,0,20670.1,0,0,0,1
16,554,0,45,4,0.0,2,1,1,193412.05,0,0,0,1
17,576,0,71,6,140273.47,1,1,1,193135.25,1,0,1,0
18,756,0,26,5,101641.14,2,0,1,154460.68,0,1,0,0
19,553,1,38,1,181110.13,2,1,0,184544.59,0,0,0,1
20,681,0,29,2,148143.84,1,1,1,52021.39,0,1,0,0
21,676,1,36,1,82729.49,1,1,0,113810.12,0,0,0,1
22,850,1,31,1,96399.31,2,1,0,106534.15,0,1,0,0
23,720,0,59,6,0.0,2,1,1,160849.43,1,0,0,1
24,562,0,27,3,0.0,2,1,0,28137.03,0,1,0,0
25,828,1,30,4,73070.18,2,0,0,161671.15,0,1,0,0
26,662,1,74,6,0.0,2,1,0,123583.85,0,1,0,0
27,675,1,66,5,115654.47,2,1,1,131970.86,0,0,0,1
28,679,0,33,9,112528.65,2,1,0,177362.45,0,1,0,0
29,705,1,34,7,117715.84,1,1,0,2498.67,0,1,0,0
30,766,1,41,0,0.0,2,0,1,34283.23,0,0,0,1
31,712,0,30,6,0.0,2,1,0,152417.97,0,0,0,1
32,654,1,40,5,105683.63,1,1,0,173617.09,0,0,0,1
33,596,0,76,9,134208.25,1,1,1,13455.43,0,0,0,1
34,607,0,32,7,0.0,3,0,1,10674.62,0,0,0,1
35,722,0,35,2,163943.89,2,1,1,15068.18,0,1,0,0
36,700,1,46,5,95872.86,1,1,0,98273.01,1,1,0,0
37,476,0,34,8,111905.43,1,0,1,197221.81,1,0,1,0
38,588,1,34,10,0.0,2,1,0,79078.91,0,0,0,1
39,829,1,50,7,0.0,2,0,1,178458.86,0,0,0,1
40,658,1,29,3,145512.84,1,1,0,20207.02,0,1,0,0
41,632,1,71,3,83116.68,1,1,1,27597.76,0,1,0,0
42,689,1,22,4,136444.25,1,1,0,51980.25,1,1,0,0
43,477,1,48,8,129250.0,2,1,1,157937.35,0,0,1,0
44,718,1,32,9,169947.41,2,1,1,27979.16,0,0,1,0
45,610,0,45,1,0.0,2,1,1,199657.46,0,1,0,0
46,382,1,36,0,0.0,1,1,1,179540.73,1,0,0,1
47,667,1,27,7,156811.74,1,1,1,149402.59,0,1,0,0
48,508,1,31,8,72541.48,1,1,0,129803.08,0,1,0,0
49,614,0,43,6,0.0,2,1,1,109041.53,0,1,0,0
50,756,0,39,5,149363.12,2,1,1,109098.39,0,0,1,0
51,796,1,32,5,102773.15,2,0,1,117832.88,0,0,0,1
52,657,0,28,7,0.0,2,0,1,5177.62,0,1,0,0
53,767,0,44,2,152509.25,1,1,1,136915.15,0,1,0,0
54,850,1,30,2,141040.01,1,1,1,5978.2,0,0,0,1
55,716,1,39,1,70657.61,2,1,1,76476.05,0,1,0,0
56,350,1,51,10,0.0,1,1,1,125823.79,1,1,0,0
57,725,1,44,5,0.0,1,1,1,117356.14,0,1,0,0
58,726,1,29,7,0.0,2,1,1,91844.14,1,1,0,0
59,698,0,39,4,0.0,2,0,1,47455.82,0,1,0,0
60,487,0,31,1,0.0,2,1,0,158750.13,0,0,0,1
61,831,1,32,9,80262.66,1,1,0,194867.78,0,0,1,0
62,563,1,57,6,0.0,2,1,1,39297.48,0,0,0,1
63,597,1,41,4,153198.23,1,1,1,92090.36,0,1,0,0
64,647,0,29,2,0.0,2,1,0,179032.68,0,0,0,1
65,762,1,34,4,88815.56,2,1,0,68562.26,1,0,1,0
66,703,1,50,8,160139.59,2,1,1,79314.1,0,1,0,0
67,673,0,35,6,0.0,2,1,0,98618.79,0,0,0,1
68,741,1,38,4,128015.83,1,1,0,58440.43,0,0,1,0
69,814,0,36,6,0.0,2,1,1,98657.01,0,1,0,0
70,541,1,29,7,127504.57,1,0,0,86173.92,0,1,0,0
71,578,0,35,2,0.0,2,0,1,26389.92,0,1,0,0
72,684,1,40,2,70291.02,1,1,1,115468.84,1,0,0,1
73,471,0,28,5,0.0,2,1,1,22356.97,0,0,0,1
74,656,0,41,6,101179.23,2,1,1,35230.61,0,0,0,1
75,589,0,46,10,0.0,2,0,1,168369.37,0,0,0,1
76,655,1,37,1,0.0,1,1,1,106040.97,0,0,0,1
77,536,0,41,9,0.0,1,1,0,121299.14,0,1,0,0
78,740,0,51,4,0.0,2,1,1,178929.84,0,1,0,0
79,685,0,44,2,119657.53,1,1,0,145387.05,1,0,1,0
80,656,0,30,4,74323.2,1,1,1,22929.08,0,1,0,0
81,525,1,33,5,0.0,2,1,0,161002.29,0,0,0,1
82,681,1,38,6,181804.34,2,1,1,57517.71,0,0,1,0
83,549,1,54,5,92877.33,1,1,0,2619.64,1,0,1,0
84,650,1,23,4,93911.3,2,1,0,69055.45,0,0,1,0
85,732,1,54,0,134249.7,1,0,1,13404.4,0,0,0,1
86,747,1,58,7,116313.57,1,1,1,190696.35,1,0,1,0
87,754,1,35,4,0.0,2,1,1,9658.41,0,0,0,1
88,589,1,38,4,0.0,1,1,0,95483.48,1,1,0,0
89,559,1,33,9,111060.05,2,1,0,110371.84,0,1,0,0
90,696,1,44,8,161889.79,1,0,0,75562.47,0,1,0,0
91,673,1,40,1,121629.22,1,1,1,3258.6,0,0,0,1
92,733,1,51,10,141556.96,1,1,0,130189.53,0,1,0,0
93,698,1,38,2,130015.24,1,1,1,41595.3,0,1,0,0
94,806,0,32,3,63763.49,1,1,0,156593.09,0,1,0,0
95,725,1,39,4,160652.45,2,1,0,57643.55,0,1,0,0
96,525,0,60,7,0.0,2,0,1,168034.9,0,0,0,1
97,524,1,22,9,0.0,2,1,0,74405.34,0,1,0,0
98,625,0,36,8,129944.39,2,0,0,198914.8,0,1,0,0
99,548,0,36,2,108913.84,2,1,1,140460.01,0,0,1,0
100,678,0,28,4,0.0,2,1,1,144423.17,1,1,0,0
